"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
46,"Private",315423,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,2042,50,"North America","<=50K"
42,"Self-Employed",120837,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2042,48,"North America","<=50K"
32,"Private",260954,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2042,30,"North America","<=50K"
49,"Government",107231,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2002,40,"North America","<=50K"
53,"Government",135102,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,2002,45,"North America","<=50K"
47,"Self-Employed",355978,"Doctorate",16,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2002,45,"North America","<=50K"
30,"Private",57651,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Male",0,2001,42,"North America","<=50K"
25,"Private",378322,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,2001,50,"North America","<=50K"
19,"Private",264390,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,2001,40,"North America","<=50K"
21,"Government",102942,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,2001,40,"North America","<=50K"
19,"Private",198459,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Male",0,2001,40,"North America","<=50K"
34,"Private",174789,"Bachelors",13,"Never-married","Other-service","Not-in-family","White","Male",0,2001,40,"North America","<=50K"
27,"Other",469705,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","Black","Male",0,1980,40,"North America","<=50K"
31,"Private",184306,"Assoc-voc",11,"Never-married","Transport-moving","Own-child","White","Male",0,1980,60,"North America","<=50K"
56,"Private",34626,"Some-college",10,"Divorced","Exec-managerial","Not-in-family","White","Female",0,1980,40,"North America","<=50K"
41,"Private",445382,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,65,"North America",">50K"
37,"Private",22463,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,40,"North America",">50K"
42,"Government",111252,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"North America",">50K"
55,"Private",153484,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"North America",">50K"
51,"Private",252903,"10th",6,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"North America",">50K"
45,"Government",160472,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"North America",">50K"
56,"Private",192869,"Masters",14,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,44,"North America",">50K"
36,"Private",183612,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"North America",">50K"
42,"Self-Employed",123838,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"North America",">50K"
54,"Private",88278,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"North America",">50K"
42,"Self-Employed",323790,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,70,"North America",">50K"
63,"Self-Employed",35021,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,1977,32,"Asia",">50K"
37,"Private",99146,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"North America",">50K"
41,"Self-Employed",200574,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"North America",">50K"
34,"Private",189759,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"North America",">50K"
42,"Self-Employed",130126,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"North America",">50K"
47,"Government",29819,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,1977,50,"North America",">50K"
52,"Private",168553,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,40,"North America",">50K"
45,"Private",363677,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,30,"North America",">50K"
43,"Private",55213,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1977,52,"North America",">50K"
54,"Government",185846,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"North America",">50K"
28,"Private",114158,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,24,"North America",">50K"
45,"Private",233511,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,60,"North America",">50K"
39,"Self-Employed",202027,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"North America",">50K"
39,"Private",218490,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"North America",">50K"
26,"Private",291968,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"North America",">50K"
36,"Self-Employed",36270,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,1977,65,"North America",">50K"
40,"Self-Employed",175943,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,15,"North America",">50K"
31,"Government",207505,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,70,"North America",">50K"
37,"Private",135436,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,60,"North America",">50K"
36,"Private",126675,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"North America",">50K"
40,"Private",46990,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,20,"North America",">50K"
46,"Self-Employed",216414,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,60,"North America",">50K"
54,"Self-Employed",206964,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"North America",">50K"
59,"Private",170104,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"North America",">50K"
54,"Self-Employed",109418,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1977,35,"North America",">50K"
31,"Private",110643,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,55,"North America",">50K"
46,"Private",261059,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"North America",">50K"
33,"Private",149184,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"North America",">50K"
54,"Private",308087,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,18,"North America",">50K"
43,"Private",409922,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"North America",">50K"
21,"Private",109414,"Some-college",10,"Never-married","Prof-specialty","Own-child","Asian-Pac-Islander","Male",0,1974,40,"North America","<=50K"
23,"Private",275818,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,1974,40,"North America","<=50K"
30,"Private",43953,"HS-grad",9,"Never-married","Adm-clerical","Other-relative","White","Female",0,1974,40,"North America","<=50K"
28,"Private",111696,"HS-grad",9,"Separated","Craft-repair","Not-in-family","White","Male",0,1974,40,"North America","<=50K"
62,"Private",81116,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Male",0,1974,40,"North America","<=50K"
43,"Private",274363,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,40,"Europe",">50K"
48,"Government",55863,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,46,"North America",">50K"
23,"Private",196827,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1902,40,"North America","<=50K"
45,"Private",246891,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,40,"North America",">50K"
49,"Private",101320,"Assoc-acdm",12,"Married-civ-spouse","Sales","Wife","White","Female",0,1902,40,"North America",">50K"
57,"Private",98350,"Prof-school",15,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,1902,40,"Asia",">50K"
40,"Government",244522,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,48,"North America",">50K"
44,"Self-Employed",402397,"Masters",14,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1902,60,"North America",">50K"
28,"Government",250135,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,55,"North America","<=50K"
57,"Private",20953,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,40,"North America",">50K"
31,"Private",37546,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1902,35,"North America",">50K"
46,"Private",459189,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,50,"North America",">50K"
44,"Self-Employed",124692,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,40,"North America",">50K"
51,"Government",176751,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,40,"North America",">50K"
52,"Private",108435,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,50,"Europe",">50K"
47,"Self-Employed",192894,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,45,"North America",">50K"
34,"Private",164190,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,38,"North America",">50K"
44,"Government",136546,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,40,"North America",">50K"
42,"Other",108183,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,1902,40,"Other",">50K"
33,"Private",236396,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,55,"North America",">50K"
34,"Private",277314,"Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","Black","Male",0,1902,50,"North America",">50K"
41,"Self-Employed",140365,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,55,"North America",">50K"
48,"Private",109832,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,40,"North America",">50K"
28,"Private",147560,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,55,"North America",">50K"
61,"Self-Employed",139391,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,35,"North America",">50K"
48,"Private",276664,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,50,"North America",">50K"
22,"Other",32950,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,37,"North America","<=50K"
53,"Private",95469,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1902,40,"North America",">50K"
46,"Private",403911,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,1902,40,"North America",">50K"
42,"Private",344624,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1902,50,"North America",">50K"
49,"Self-Employed",213140,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,60,"North America",">50K"
43,"Private",196545,"Bachelors",13,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1902,40,"North America",">50K"
49,"Private",165953,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1902,40,"North America","<=50K"
44,"Private",277647,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,40,"North America",">50K"
42,"Private",198341,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,1902,55,"Asia",">50K"
57,"Private",64960,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,45,"North America","<=50K"
50,"Self-Employed",371305,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,60,"North America",">50K"
52,"Self-Employed",230767,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,60,"North America",">50K"
37,"Private",298539,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,55,"North America",">50K"
33,"Private",51471,"HS-grad",9,"Married-civ-spouse","Tech-support","Wife","White","Female",0,1902,40,"North America",">50K"
57,"Self-Employed",413373,"Doctorate",16,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,40,"North America",">50K"
43,"Private",266324,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,99,"North America",">50K"
50,"Private",102615,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,40,"North America",">50K"
33,"Private",191335,"Assoc-acdm",12,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,50,"North America",">50K"
53,"Other",173093,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","Asian-Pac-Islander","Female",0,1887,40,"Asia",">50K"
43,"Private",293305,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1887,40,"North America",">50K"
41,"Private",221947,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,50,"North America",">50K"
39,"Government",177907,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,1887,40,"North America",">50K"
46,"Private",114032,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1887,45,"North America",">50K"
29,"Private",81648,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,1887,55,"North America",">50K"
34,"Private",195136,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1887,40,"North America",">50K"
50,"Private",285200,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,35,"North America",">50K"
34,"Private",207668,"Some-college",10,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,1887,40,"North America",">50K"
27,"Self-Employed",120126,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,45,"North America",">50K"
44,"Self-Employed",151089,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,70,"North America",">50K"
39,"Private",355468,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,1887,46,"North America",">50K"
51,"Government",155594,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1887,40,"North America",">50K"
47,"Government",162187,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1887,40,"North America",">50K"
52,"Government",254285,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1887,70,"Europe",">50K"
40,"Private",104196,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1887,40,"North America",">50K"
27,"Private",31659,"Bachelors",13,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1887,60,"North America",">50K"
31,"Private",467579,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,1887,40,"North America",">50K"
38,"Self-Employed",43712,"11th",7,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,45,"North America",">50K"
55,"Private",193130,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,1887,40,"North America",">50K"
40,"Government",174283,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1887,50,"North America",">50K"
39,"Private",176296,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,1887,40,"North America",">50K"
50,"Private",128143,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,50,"North America",">50K"
28,"Private",141957,"Assoc-acdm",12,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1887,70,"North America",">50K"
38,"Government",172855,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,1887,40,"North America",">50K"
58,"Private",314092,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,48,"North America",">50K"
43,"Private",266439,"Bachelors",13,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1887,40,"North America",">50K"
52,"Private",159755,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,40,"North America",">50K"
44,"Self-Employed",343190,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,55,"North America",">50K"
45,"Private",126889,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1887,60,"North America",">50K"
44,"Private",186916,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1887,60,"North America",">50K"
42,"Private",230959,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Wife","Asian-Pac-Islander","Female",0,1887,40,"Asia",">50K"
45,"Government",199590,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,40,"North America",">50K"
39,"Private",30529,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,40,"North America",">50K"
26,"Private",397317,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"North America","<=50K"
44,"Government",101593,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,1876,42,"North America","<=50K"
39,"Government",86551,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,1876,40,"North America","<=50K"
32,"Private",244147,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,1876,50,"North America","<=50K"
27,"Private",34273,"Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,36,"North America","<=50K"
53,"Private",174020,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,1876,38,"North America","<=50K"
30,"Private",236861,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","White","Male",0,1876,45,"North America","<=50K"
41,"Private",315834,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"North America","<=50K"
25,"Private",117833,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"North America","<=50K"
44,"Private",150533,"Some-college",10,"Separated","Craft-repair","Not-in-family","White","Male",0,1876,55,"North America","<=50K"
44,"Private",216907,"Assoc-acdm",12,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1848,40,"North America",">50K"
28,"Private",303954,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1848,42,"North America",">50K"
41,"Private",121718,"Assoc-voc",11,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1848,48,"North America",">50K"
33,"Government",173005,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1848,45,"North America",">50K"
27,"Private",285897,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1848,45,"North America",">50K"
52,"Government",125796,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,1848,40,"North America",">50K"
41,"Other",36651,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1848,40,"North America",">50K"
63,"Private",383058,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1848,40,"North America",">50K"
32,"Private",168854,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1848,50,"North America",">50K"
24,"Private",85088,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,1762,32,"North America","<=50K"
24,"Private",137591,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,1762,40,"North America","<=50K"
52,"Private",78012,"HS-grad",9,"Widowed","Sales","Unmarried","White","Female",0,1762,40,"North America","<=50K"
22,"Private",156822,"10th",6,"Never-married","Sales","Not-in-family","White","Female",0,1762,25,"North America","<=50K"
